materialSampleID,country,locality,principalInvestigator,collectorList,coordinateUncertaintyInMeters,minimumElevationInMeters,decimalLongitude,decimalLatitude,yearCollected,monthCollected,dayCollected,specificEpithet,genus,diseaseDetected,fatal,sampleType,diseaseTested,ZEscore,infraspecificEpithet
36,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,9,verreauxii,litoria,FALSE,FALSE,swabbing,Bd,0, alpina
37,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,8,31,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,20.0004, alpina
38,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,9,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,1171.6901, alpina
39,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,9,verreauxii,litoria,FALSE,FALSE,swabbing,Bd,0, alpina
40,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,8,31,verreauxii,litoria,FALSE,FALSE,swabbing,Bd,0, alpina
41,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,9,verreauxii,litoria,FALSE,FALSE,swabbing,Bd,0, alpina
42,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,9,verreauxii,litoria,FALSE,FALSE,swabbing,Bd,0, alpina
43,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,9,verreauxii,litoria,FALSE,FALSE,swabbing,Bd,0, alpina
44,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,9,verreauxii,litoria,FALSE,FALSE,swabbing,Bd,0, alpina
45,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,9,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,2185.0437, alpina
46,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,14,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,490.0098, alpina
47,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,7,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,25.0005, alpina
48,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,16,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,3223.3978, alpina
49,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,9,21,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,13.3336, alpina
50,Australia,Unknown,Laura Brannelly,Laura Brannelly,30,1335,148.39900,-35.96000,2013,10,26,verreauxii,litoria,TRUE,FALSE,swabbing,Bd,758.3485, alpina
